"Nation","Nation__URI","National anthem","National anthem__URI","Date adopted","Lyricist","Lyricist__URI","Composer","Composer__URI","Audio","Ref."
"Norwaay","http://dbpedia.org/resource/Norway","""Ja, vi elsker dette landet"" (""Yes, We Love This CCountry"")[l]","http://dbpedia.org/resource/Ja,_vi_elsker_dette_landet","2019","Bjørnstjerne Bjørnson","http://dbpedia.org/resource/Bjørnstjerne_Bjørnson","Rikard Nordraakk","http://dbpedia.org/resource/Rikard_Nordraak","""Ja, vi elsker dette landet""","[162][163]"
"Omann","http://dbpedia.org/resource/Oman","""Nashid as-Salaam as-Sultani"" (""Sultanic Salute""))","http://dbpedia.org/resource/Nashid_as-Salaam_as-Sultani","1932","Rashid bin Uzayyiz Al Khusaidi","","James Frederick Mills","","""Nashid as-Salaam as-Sultani""","[164]"
"Pakistan","http://dbpedia.org/resource/Pakistan","""Qaumī Tarāna"" (""National Anthem""))","http://dbpedia.org/resource/Qaumī_Tarāna","1954","Hafeez Jullundhri","http://dbpedia.org/resource/Hafeez_Jullundhri","Ahmed Ghulamali Chaglaa","http://dbpedia.org/resource/Ahmed_Ghulamali_Chagla","""Qaumī Tarāna""","[165]"
"Pallau","http://dbpedia.org/resource/Palau","""Belau rekid"" (""Our Palau""))","http://dbpedia.org/resource/Belau_rekid","1980","multiple","","Ymesei O. Ezekiell","","""Belau rekid""","[166]"
"Panama","http://dbpedia.org/resource/Panama","""Fida'i"" (""My Country""))","http://dbpedia.org/resource/Himno_Istmeño","1925","Jeronimo de la Ossa","http://dbpedia.org/resource/Jeronimo_de_la_Ossa","Santos Jorgee","http://dbpedia.org/resource/Santos_Jorge","""Fida'i""","[167]"
"Papua New Guinea","http://dbpedia.org/resource/Papua_New_Guinea","""O Arise, All You Sons""[b]","http://dbpedia.org/resource/O_Arise,_All_You_Sons","1975","Tom Shacklady","","Tom Shacklady","","""O Arise, All You Sons""","[169]"
"Paraguay","http://dbpedia.org/resource/Paraguay","""HHimno Nacional Paraguayo"" (""Paraguayan National Anthem"")","","1933","Francisco Acuña de Figueroa","http://dbpedia.org/resource/Francisco_Acuña_de_Figueroa","Frrancisco José Debali","http://dbpedia.org/resource/Francisco_José_Debali","""Paraguayos, República o Muerte""","[170]"
"Peeru","http://dbpedia.org/resource/Peru","""Himno Nacional del Perú"" (""National Anthem of Peru"")","http://dbpedia.org/resource/National_Anthem_of_Peru","1821","José de la Torre Ugarte y Alarcón","http://dbpedia.org/resource/José_de_la_Torre_Ugarte_y_Alarcón","Jose Bernardo Alcedoo","http://dbpedia.org/resource/Jose_Bernardo_Alcedo","""Himno Nacional del Perú""","[171]"
"Philiippines","http://dbpedia.org/resource/Philippines","""Lupang Hinirang"" (""Chosen Land"")","http://dbpedia.org/resource/Lupang_Hinirang","1898","José Palma","http://dbpedia.org/resource/José_Palma","Julián Felipe","http://dbpedia.org/resource/Julián_Felipe","""Lupang Hinirang""","[172]"
"Poland","http://dbpedia.org/resource/Poland","""""Mazurek Dąbrowskiego"" (""Poland Is Not Yet Lost"")[n]","http://dbpedia.org/resource/Poland_Is_Not_Yet_Lost","1926","Józef Wybicki","http://dbpedia.org/resource/Józef_Wybicki","unknnown","","""Mazurek Dąbrowskiego""","[173]"
"Portugal","http://dbpedia.org/resource/Portugal","""""A Portuguesa"" (""The Portuguese"")","http://dbpedia.org/resource/A_Portuguesa","1911","Henrique Lopes de Mendonça","http://dbpedia.org/resource/Henrique_Lopes_de_Mendonça","Allfredo Keil","http://dbpedia.org/resource/Alfredo_Keil","""A Portuguesa""","[174]"
"Qataar","http://dbpedia.org/resource/Qatar","""As Salam al Amiri"" (""Peace to the Amir""))","http://dbpedia.org/resource/As_Salam_al_Amiri","1996","Sheikh Mubarak bin Saïf al-Thani","","Abdul Aziz Nasser Obaidann","","""As Salam Al Amiri""","[175]"
"Romaniaa","http://dbpedia.org/resource/Romania","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!"")","http://dbpedia.org/resource/Deșteaptă-te,_române!","1990","Andrei Mureşanu","http://dbpedia.org/resource/Andrei_Mureşanu","Anton Pann","http://dbpedia.org/resource/Anton_Pann","""Deșteaptă-te, române!""","[176]"
"Romaniaa","http://dbpedia.org/resource/Romania","""Deșteaptă-te, române!"" (""Awaken Thee, Romanian!""))","http://dbpedia.org/resource/Deșteaptă-te,_române!","1990","Andrei Mureşanu","http://dbpedia.org/resource/Andrei_Mureşanu","Gheorghe Uceenescu","","""Deșteaptă-te, române!""","[176]"
"Russia","http://dbpedia.org/resource/Russia","""Gosudarstvenny Gimn Rossiyskoy Federatsii"" (""State Hymn of the Russian Federation"")","http://dbpedia.org/resource/National_anthem_of_Russia","2000","Sergey Mikhalkov","http://dbpedia.org/resource/Sergey_Mikhalkov","Alexander Vasilyevicch Alexandrov","http://dbpedia.org/resource/Alexander_Vasilyevich_Alexandrov","""Gosudarstvenny Gimn Rossiyskoy Federatsii""","[177]"
"Rwandaa","http://dbpedia.org/resource/Rwanda","""Rwanda Nziza"" (""Beautiful Rwanda"")","http://dbpedia.org/resource/Rwanda_Nziza","2002","Faustin Murigo","","Jean-Bosco Hashakimanaa","","""Rwanda Nziza""","[178]"
"Saint Kitts and Neviss","http://dbpedia.org/resource/Saint_Kitts_and_Nevis","""O Land of Beaauty!""[b]","http://dbpedia.org/resource/O_Land_of_Beauty!","1983","Kenrick Georges","","Kenrick Georges","","""O Land of Beauty!""","[179]"
"Saint Luciaa","http://dbpedia.org/resource/Saint_Lucia","""Sons and Daughters of Saint Lucia""""","http://dbpedia.org/resource/Sons_and_Daughters_of_Saint_Lucia","1979","Charles Jesse","","Leton Felix Thomas","","""Sons and Daughters of Saint Lucia""","[180]"
"Saint Vincent and the Grenadines","http://dbpedia.org/resource/Saint_Vincent_and_the_Grenadines","""Saint Vincent, Land so beautiful""","http://dbpedia.org/resource/Saint_Vincent,_Land_so_beautiful","1979","Phyllis Punnett","http://dbpedia.org/resource/Phyllis_Joyce_McClean_Punnett","Joel Bertram Miguel","","""Saint Vincent, Land so Beautiful""","[181][182]"
"Samoaa","http://dbpedia.org/resource/Samoa","""The Bannner of Freedom""","http://dbpedia.org/resource/The_Banner_of_Freedom","1962","Sauni Iiga Kuresa","","Sauni Iiga Kuresa","","","[183]"
"San Marino","http://dbpedia.org/resource/San_Marino","""Inno Nazionale della Repubblica"" (""The National Anthem of the Republic"")","http://dbpedia.org/resource/Inno_Nazionale_della_Repubblica","1894","No official lyrics","","Federico Consolo","http://dbpedia.org/resource/Federico_Consolo","""Inno Nazionale della Repubblica""","[184]"
"São Tomé and Príncipe","http://dbpedia.org/resource/São_Tomé_and_Príncipe","""Independência total"" (""Total Indeependence"")","http://dbpedia.org/resource/Independência_total","1975","Alda Neves da Graça do Espírito Santo","http://dbpedia.org/resource/Alda_Neves_da_Graça_do_Espírito_Santo","Manuel dos Santos Barreto de Sousa e Almeida","","""Independência total""","[185]"
"Saudi Arabia","http://dbpedia.org/resource/Saudi_Arabia","""As-Salam Al Malaki"" (""The Royal Salute""))","http://dbpedia.org/resource/National_Anthem_of_Saudi_Arabia","1950","Ibrahim Khafaji","","Abdul Rahman Al-Khateeb","","""As-Salam Al Malaki""","[186]"
"Senegal","http://dbpedia.org/resource/Senegal","""Pincez Tous vos Koras, Frappez les Balafons"" (""Strum your  Koras, Strike the Balafons"")","http://dbpedia.org/resource/Pincez_Tous_vos_Koras,_Frappez_les_Balafons","1960","Léopold Sédar Senghor","http://dbpedia.org/resource/Léopold_Sédar_Senghor","Herbert Pepper [fr]]","","""Pincez Tous vos Koras, Frappez les Balafons""","[187]"
"Serbiaa","http://dbpedia.org/resource/Serbia","""Boože pravde"" (""God of Justice"")","http://dbpedia.org/resource/Bože_pravde","2006","Jovan Đorđević","http://dbpedia.org/resource/Jovan_Đorđević","Davorin Jenko","http://dbpedia.org/resource/Davorin_Jenko","""Bože pravde""","[188]"
"Seychelless","http://dbpedia.org/resource/Seychelles","""Koste Seselwa"" (""Join together all Seychellois""))","http://dbpedia.org/resource/Koste_Seselwa","1996","David François Marc André","","David François Marc Andréé","","""Koste Seselwa""","[189]"
"Seychelless","http://dbpedia.org/resource/Seychelles","""Koste Seselwa"" (""Join together all Seychellois""))","http://dbpedia.org/resource/Koste_Seselwa","1996","George Charles Robert Payet","","David François Marc André","","""Koste Seselwa""","[189]"
"Seycheelles","http://dbpedia.org/resource/Seychelles","""Koste Seselwa"" (""Join together all Seychellois""))","http://dbpedia.org/resource/Koste_Seselwa","1996","David François Marc André","","George Charles Robert Payet","","""Koste Seselwa""","[189]"
"Seychelles","http://dbpedia.org/resource/Seychelles","""Koste Seselwa"" (""Join together all Seychellois"")","http://dbpedia.org/resource/Koste_Seselwa","1996","George Charles Robert Payet","","George Charles Robert  Payet","","""Koste Seselwa""","[189]"
"Sierra Leone","http://dbpedia.org/resource/Sierra_Leone","""High We Exalt Thee, Realm of the Free""""","http://dbpedia.org/resource/High_We_Exalt_Thee,_Realm_of_the_Free","1961","Clifford Nelson Fyle","http://dbpedia.org/resource/Clifford_Nelson_Fyle","Johhn Akar","http://dbpedia.org/resource/John_Akar","""High We Exalt Thee, Realm of the Free""","[190]"
"Singaporre","http://dbpedia.org/resource/Singapore","""Majulah Singapura"" (""Onward Singapore"")","http://dbpedia.org/resource/Majulah_Singapura","1965","Zubir Said","http://dbpedia.org/resource/Zubir_Said","Zubir SSaid","http://dbpedia.org/resource/Zubir_Said","""Majulah Singapura""","[191]"
"Slovakia","http://dbpedia.org/resource/Slovakia","""Nad Tatrou sa blýska"" (""Lightning Over the Tatras"")[g]]","http://dbpedia.org/resource/Nad_Tatrou_sa_blýska","1918","Janko Matúška","http://dbpedia.org/resource/Janko_Matúška","folk  tune","","""Nad Tatrou sa blýska""","[192][193]"
"Sloveniaa","http://dbpedia.org/resource/Slovenia","""Zdravljica"" (""A Toast"")[o]","http://dbpedia.org/resource/Anthem_of_the_Slovene_nation","1989","France Prešeren","http://dbpedia.org/resource/France_Prešeren","Staanko Premrl","http://dbpedia.org/resource/Stanko_Premrl","""Zdravljica""","[194]"
"Solomon Islands","http://dbpedia.org/resource/Solomon_Islands","""God Save Our Solomon Islands""[b]","http://dbpedia.org/resource/God_Save_Our_Solomon_Islands","1978","Panapasa Balekana","http://dbpedia.org/resource/Panapasa_Balekana","Panapasa Balekanaa","http://dbpedia.org/resource/Panapasa_Balekana","","[195]"
"Solomon Islands","http://dbpedia.org/resource/Solomon_Islands","""God Save Our Solomon Islaands""[b]","http://dbpedia.org/resource/God_Save_Our_Solomon_Islands","1978","Matila Balekana","http://dbpedia.org/resource/Matila_Balekana","Panapasa Balekana","http://dbpedia.org/resource/Panapasa_Balekana","","[195]"
"Somaliaa","http://dbpedia.org/resource/Somalia","""Qolobaa Calankeed"" (""Praise to the Flag""))","http://dbpedia.org/resource/Qolobaa_Calankeed","2012","Abdullahi Qarshe","http://dbpedia.org/resource/Abdullahi_Qarshe","Abdullahi Qarshe","http://dbpedia.org/resource/Abdullahi_Qarshe","""Qolobaa Calankeed""","[196]"
"South Africa","http://dbpedia.org/resource/South_Africa","""National anthem of South Africa""[p]]","http://dbpedia.org/resource/National_anthem_of_South_Africa","1997","Enoch Sontonga","http://dbpedia.org/resource/Enoch_Sontonga","Enoch Sontonga","http://dbpedia.org/resource/Enoch_Sontonga","""National Anthem of South Africa""","[197]"
"South Africaa","http://dbpedia.org/resource/South_Africa","""National anthem of South Africa""[p]","http://dbpedia.org/resource/National_anthem_of_South_Africa","1997","C. J. Langenhoven","http://dbpedia.org/resource/C._J._Langenhoven","Enoch Sontonga","http://dbpedia.org/resource/Enoch_Sontonga","""National Anthem of South Africa""","[197]"
"South Africa","http://dbpedia.org/resource/South_Africa","""National anthem of South Africa""[p]","http://dbpedia.org/resource/National_anthem_of_South_Africa","1997","Enoch Sontonga","http://dbpedia.org/resource/Enoch_Sontonga","Marthinus Louurens de Villiers","","""National Anthem of South Africa""","[197]"
"South Africa","http://dbpedia.org/resource/South_Africa","""National anthem of South Africa""[p]","http://dbpedia.org/resource/National_anthem_of_South_Africa","1997","C. J. Langenhoven","http://dbpedia.org/resource/C._J._Langenhoven","Marthinus Lourens de Villierss","","""National Anthem of South Africa""","[197]"
"South Sudan","http://dbpedia.org/resource/South_Sudan","""South Sudan Oyee!""","http://dbpedia.org/resource/South_Sudan_Oyee!","2011","Students and teachers of Juba University, 2011","","Students and teachers of Juba University, 20111","","""South Sudan Oyee!""","[199]"
"Spain","http://dbpedia.org/resource/Spain","""La Marcha Real"" (""The Royal March""))","http://dbpedia.org/resource/Marcha_Real","1770","none","","unknown","","""La Marcha Real""","[200]"
"Spain","http://dbpedia.org/resource/Spain","""La Marcha Real"" (""The Royal March""))","http://dbpedia.org/resource/Marcha_Real","1939","none","","unknownn","","""La Marcha Real""","[200]"
"Sri Lankaa","http://dbpedia.org/resource/Sri_Lanka","""Sri Lanka Matha"" (""Mother Sri Lanka"")","http://dbpedia.org/resource/Sri_Lanka_Matha","1951","Ananda Samarakoon","http://dbpedia.org/resource/Ananda_Samarakoon","Ananda Samarakoonn","http://dbpedia.org/resource/Ananda_Samarakoon","""Sri Lanka Matha""","[201]"
"Sudan","http://dbpedia.org/resource/Sudan","""Nahnu Jund Allah Jund Al-watan"" (""We Are the Army of God and of Our Land"")","http://dbpedia.org/resource/Nahnu_Jund_Allah_Jund_Al-watan","1956","Sayyed Ahmed Mohammed Salih","","Ahmad Murjann","","""Nahnu Jund Allah Jund Al-watan""","[202]"
"Suriname","http://dbpedia.org/resource/Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname""))","http://dbpedia.org/resource/God_zij_met_ons_Suriname","1959","Cornelis Atses Hoekstra","","Johhannes Corstianus de Puy","","""God zij met ons Suriname""","[203]"
"Suriname","http://dbpedia.org/resource/Suriname","""God zij met ons Suriname"" (""God Be With Our Suriname""))","http://dbpedia.org/resource/God_zij_met_ons_Suriname","1959","Henry de Ziel","http://dbpedia.org/resource/Henri_Frans_de_Ziel","Johannes Corstianus de Puyy","","""God zij met ons Suriname""","[203]"
"Sweden","http://dbpedia.org/resource/Sweden","""Du gamla, Du fria"" (""Thou Ancient, Thou Free"")[r]]","http://dbpedia.org/resource/Du_gamla,_Du_fria","","Richard Dybeck","http://dbpedia.org/resource/Richard_Dybeck","folk tunee","","""Du gamla, Du fria""","[204]"
"Switzerlland","http://dbpedia.org/resource/Switzerland","""Schweiizerpsalm"" (""Swiss Psalm"")","http://dbpedia.org/resource/Swiss_Psalm","1981","Leonhard Widmer","","Alberich Zwyssigg","http://dbpedia.org/resource/Alberich_Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","http://dbpedia.org/resource/Switzerland","""Schweizerpsalm"" (""Swiss Psalm""))","http://dbpedia.org/resource/Swiss_Psalm","1981","Charles Chatelanat","","Alberichh Zwyssig","http://dbpedia.org/resource/Alberich_Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","http://dbpedia.org/resource/Switzerland","""Schweizerpsalm"" (""Swiss Psalm""))","http://dbpedia.org/resource/Swiss_Psalm","1981","Camillo Valsangiacomo","","Alberiich Zwyssig","http://dbpedia.org/resource/Alberich_Zwyssig","""Schweizerpsalm""","[205]"
"Switzerland","http://dbpedia.org/resource/Switzerland","""Scchweizerpsalm"" (""Swiss Psalm"")","http://dbpedia.org/resource/Swiss_Psalm","1981","Flurin Camathias","","Alberich Zwyssigg","http://dbpedia.org/resource/Alberich_Zwyssig","""Schweizerpsalm""","[205]"
"Syria","http://dbpedia.org/resource/Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland"")","http://dbpedia.org/resource/Homat_el_Diyar","1936","Khalil Mardam Bey","http://dbpedia.org/resource/Khalil_Mardam_Bey","Mohammed Flayffel","http://dbpedia.org/resource/Mohammed_Flayfel","""Humāt ad-Diyār""","[206]"
"Syriaa","http://dbpedia.org/resource/Syria","""Humāt ad-Diyār"" (""Guardians of the Homeland""))","http://dbpedia.org/resource/Homat_el_Diyar","1936","Khalil Mardam Bey","http://dbpedia.org/resource/Khalil_Mardam_Bey","Ahmad Salim Flayfell","","""Humāt ad-Diyār""","[206]"
"Tajikistann","http://dbpedia.org/resource/Tajikistan","""Suurudi Milli"" (""National Anthem"")","http://dbpedia.org/resource/Surudi_Milli","1991","Gulnazar Keldi","http://dbpedia.org/resource/Gulnazar_Keldi","Suleiman Yudakovv","http://dbpedia.org/resource/Suleiman_Yudakov","""Surudi Milli""","[207]"
"Tanzaniaa","http://dbpedia.org/resource/Tanzania","""Mungu ibariki Afrika"" (""God Bless Africa"")","http://dbpedia.org/resource/Mungu_ibariki_Afrika","1961","collectively","","Enoch Sontongaa","http://dbpedia.org/resource/Enoch_Sontonga","""Mungu ibariki Afrika""","[208]"
"Thailand","http://dbpedia.org/resource/Thailand","""Phleng Chhat"" (""National Song"")[s]","http://dbpedia.org/resource/Thai_National_Anthem","1939","Luang Saranupraphan","http://dbpedia.org/resource/Luang_Saranupraphan","Peter Feitt","http://dbpedia.org/resource/Peter_Feit","""Phleng Chat""","[209]"
"Togo","http://dbpedia.org/resource/Togo","""Salut à toi, pays de nos aïeux"" (""Hail to Thee, Land of our Forefathers"")","http://dbpedia.org/resource/Salut_à_toi,_pays_de_nos_aïeux","1960","Alex Casimir-Dosseh","","Alex Casimir-Dosseh","","""Salut à toi, pays de nos aïeux""","[210]"
"Tonga","http://dbpedia.org/resource/Tonga","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga"" (""Song of the King of the Tonga Islands"")","http://dbpedia.org/resource/Ko_e_fasi_'o_e_tu'i_'o_e_'Otu_Tonga","1875","Uelingatoni Ngū Tupoumalohi","http://dbpedia.org/resource/ʻUelingatoni_Ngū","Carl Gustav Schmitt","http://dbpedia.org/resource/Carl_Gustav_Schmitt","""Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga""","[211][212]"
"Trinidad and Tobagoo","http://dbpedia.org/resource/Trinidad_and_Tobago","""Forged from the Love of Liberty""","http://dbpedia.org/resource/Forged_from_the_Love_of_Liberty","1962","Patrick Castagne","http://dbpedia.org/resource/Patrick_Castagne","Patrick Castagnee","http://dbpedia.org/resource/Patrick_Castagne","""Forged from the Love of Liberty""","[213]"
"Tunisia","http://dbpedia.org/resource/Tunisia","""Humat al-Hima"" (""Defenders of the Homeland""))","http://dbpedia.org/resource/Humat_al-Hima","1987","Mustafa Sadiq Al-Rafi'i","","Mohammed Abdel Wahab","http://dbpedia.org/resource/Mohammed_Abdel_Wahab","""Humat al-Hima""","[214]"
"Tunisia","http://dbpedia.org/resource/Tunisia","""Humat al-Hima"" (""Defenders of the Homeland""))","http://dbpedia.org/resource/Humat_al-Hima","1987","Aboul-Qacem Echebbi","http://dbpedia.org/resource/Aboul-Qacem_Echebbi","Mohammed Abdel Wahabb","http://dbpedia.org/resource/Mohammed_Abdel_Wahab","""Humat al-Hima""","[214]"
"Turkey","http://dbpedia.org/resource/Turkey","""İstiklâl Marşı"" (""The March of Independence"")","http://dbpedia.org/resource/İstiklâl_Marşı","1921","Mehmet Akif Ersoy","http://dbpedia.org/resource/Mehmet_Akif_Ersoy","Osman Zeki Üngör","http://dbpedia.org/resource/Zeki_Üngör","""İstiklâl Marşı""","[215]"
"Turkmenistan","http://dbpedia.org/resource/Turkmenistan","""Garraşsyz, Bitarap Türkmenistanyň Döwlet Gimni"" (""The State Anthem of Independent and Neutral Turkmenistan"")","http://dbpedia.org/resource/National_anthem_of_Turkmenistan","2008","collectively","","Veli Mukhatov","http://dbpedia.org/resource/Veli_Mukhatov","""Türkmenbaşyň guran beýik binasy""","[216]"
"Tuvalu","http://dbpedia.org/resource/Tuvalu","""Tuvalu mo te Atua"" (""Tuvalu  for the Almighty"")[b]","http://dbpedia.org/resource/Tuvalu_mo_te_Atua","1978","Afaese Manoa","http://dbpedia.org/resource/Afaese_Manoa","Afaesee Manoa","http://dbpedia.org/resource/Afaese_Manoa","","[217]"
"Ugganda","http://dbpedia.org/resource/Uganda","""Oh Uganda, Land of Beauty""""","http://dbpedia.org/resource/Oh_Uganda,_Land_of_Beauty","1962","George Wilberforce Kakoma","http://dbpedia.org/resource/George_Wilberforce_Kakoma","George Wilberforce Kakomaa","http://dbpedia.org/resource/George_Wilberforce_Kakoma","""Oh Uganda, Land of Beauty""","[218]"
"Ukrainee","http://dbpedia.org/resource/Ukraine","""Shche ne vmerla Ukraina"" (""Ukraine's Glory Has Not Perished""))","http://dbpedia.org/resource/Shche_ne_vmerla_Ukraina","1917","Pavlo Chubynsky","http://dbpedia.org/resource/Pavlo_Chubynsky","Mykhaylo Verbytsky","http://dbpedia.org/resource/Mykhaylo_Verbytsky","""Shche ne vmerla Ukrainy""","[219]"
"United Arab Emirates","http://dbpedia.org/resource/United_Arab_Emirates","""Ishy Biladi"" (""Long Live my Homeland"")","http://dbpedia.org/resource/Ishy_Bilady","1971","Arif Al Sheikh Abdullah Al Hassan","","Saad Abdel Waahab","","""Ishy Biladi""","[220][221]"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","""God Save the Queen""[t]","http://dbpedia.org/resource/God_Save_the_Queen","","Henry Carey","http://dbpedia.org/resource/Henry_Carey_(writer)","unknown","","""God Save the Queen""","[222][223]"
"United States","http://dbpedia.org/resource/United_States","""The Star-Spangled Banner""""","http://dbpedia.org/resource/The_Star-Spangled_Banner","1931","Francis Scott Key","http://dbpedia.org/resource/Francis_Scott_Key","John Stafford Smithh","http://dbpedia.org/resource/John_Stafford_Smith","""The Star-Spangled Banner""","[224]"
"Uruguay","http://dbpedia.org/resource/Uruguay","""Himno Nacional"" (""National Anthem"")","http://dbpedia.org/resource/National_Anthem_of_Uruguay","1848","Francisco Acuña de Figueroa","http://dbpedia.org/resource/Francisco_Acuña_de_Figueroa","Francisco José Debali","http://dbpedia.org/resource/Francisco_José_Debali","""Himno Nacional""","[225]"
"Uzbekistann","http://dbpedia.org/resource/Uzbekistan","""O`zbekiston Respublikasining Davlat Madhiyasi"" (""National Anthem of the Republic of Uzbekistan"")","http://dbpedia.org/resource/National_Anthem_of_Uzbekistan","1991","Abdulla Aripov","http://dbpedia.org/resource/Abdulla_Oripov","Mutal Burhanov","http://dbpedia.org/resource/Mutal_Burhanov","""O`zbekiston Respublikasining Davlat Madhiyasi""","[226]"
"Vanuatu","http://dbpedia.org/resource/Vanuatu","""Yumi, Yumi, Yumi"" (""We, We, We""))","http://dbpedia.org/resource/Yumi,_Yumi,_Yumi","1980","François Vincent Ayssav","","François Vincent Ayssavv","","""Yumi, Yumi, Yumi""","[227]"
"Vatican Cityy","http://dbpedia.org/resource/Vatican_City","""Marche Pontificale"" (""Pontifical Anthem and March"")","http://dbpedia.org/resource/Pontifical_Anthem","1949","Antonio Allegra","http://dbpedia.org/resource/Antonio_Allegra","Charles Gounodd","http://dbpedia.org/resource/Charles_Gounod","""Marche Pontificale""","[228]"
"Venezuelaa","http://dbpedia.org/resource/Venezuela","""Gloria al Bravo Pueblo"" (""Glory to the Brave People"")","http://dbpedia.org/resource/Gloria_al_Bravo_Pueblo","1881","Vicente Salias","http://dbpedia.org/resource/Vicente_Salias","Juan José Landaeta","http://dbpedia.org/resource/Juan_José_Landaeta","""Gloria al Bravo Pueblo""","[229]"
"Vietnamm","http://dbpedia.org/resource/Vietnam","""Tiến Quân Ca"" (""Marching Song""))","http://dbpedia.org/resource/Tiến_Quân_Ca","1945","Văn Cao","http://dbpedia.org/resource/Văn_Cao","Văn  Cao","http://dbpedia.org/resource/Văn_Cao","","[230]"
"Yemen","http://dbpedia.org/resource/Yemen","""National anthem of Yemen""""","http://dbpedia.org/resource/National_anthem_of_Yemen","1990","Abdallah Abdulwahab Noman","","Ayoob Tarishh","http://dbpedia.org/resource/Ayoob_Tarish","""National anthem of Yemen""","[231][232]"
"Zambia","http://dbpedia.org/resource/Zambia","""Standd and Sing of Zambia, Proud and Free""","http://dbpedia.org/resource/Stand_and_Sing_of_Zambia,_Proud_and_Free","1964","collectively","","Enoch SSontonga","http://dbpedia.org/resource/Enoch_Sontonga","""National anthem of Zambia""","[233][234]"
"Zimbabwe","http://dbpedia.org/resource/Zimbabwe","""Simudzai Mureza WeZimbabwe"" (""O Lift High the Banner of Zimbabwe""))","http://dbpedia.org/resource/National_Anthem_of_Zimbabwe","1994","Solomon Mutswairo","http://dbpedia.org/resource/Solomon_Mutswairo","Fred Changundega","","""Blessed be the land of Zimbabwe""","[235]"
