"Country or territory","Country or territory__URI","Capital","Capital__URI","Largest city (or metropolitan area)","Largest city (or metropolitan area)__URI","Second largest city (or metropoitan area)","Second largest city (or metropoitan area)__URI","Source"
"Ukraine","http://dbpedia.org/resource/Ukraine","Kiev","http://dbpedia.org/resource/Kiev","Kiev","http://dbpedia.org/resource/Kiev","Donetsk","http://dbpedia.org/resource/Donetsk","[227][228]"
"United Arab Emirates","http://dbpedia.org/resource/United_Arab_Emirates","Abu Dhabi","http://dbpedia.org/resource/Abu_Dhabi","Dubaii","http://dbpedia.org/resource/Dubai","Abu Dhabi","http://dbpedia.org/resource/Abu_Dhabi","[229][230]"
"United Kingdom","http://dbpedia.org/resource/United_Kingdom","London","http://dbpedia.org/resource/London","Londonn","http://dbpedia.org/resource/London","Birmingham","http://dbpedia.org/resource/Birmingham","[231][232][233][234][235]"
"United States of America","http://dbpedia.org/resource/United_States","Washington, D.C.","http://dbpedia.org/resource/Washington,_D.C.","New York Cityyy","http://dbpedia.org/resource/New_York_City","Los Angeles","http://dbpedia.org/resource/Los_Angeles,_USA","[236]"
"Uruguay","http://dbpedia.org/resource/Uruguay","Montevideo","http://dbpedia.org/resource/Montevideo","Montevideo","http://dbpedia.org/resource/Montevideo","Ciudad de la Costa","http://dbpedia.org/resource/Ciudad_de_la_Costa","[237]"
"Uruguay","http://dbpedia.org/resource/Uruguay","Montevideo","http://dbpedia.org/resource/Montevideo","Montevideoo","http://dbpedia.org/resource/Montevideo","Maldonado","http://dbpedia.org/resource/Maldonado,_Uruguay","[237]"
"Uzbekistan","http://dbpedia.org/resource/Uzbekistan","Tashkent","http://dbpedia.org/resource/Tashkent","Tashkentt","http://dbpedia.org/resource/Tashkent","Namangan","http://dbpedia.org/resource/Namangan","[238]"
"Vanuatu","http://dbpedia.org/resource/Vanuatu","Port Vila","http://dbpedia.org/resource/Port_Vila","Port Vilaaa","http://dbpedia.org/resource/Port_Vila","Luganville","http://dbpedia.org/resource/Luganville","[239]"
"Vatican City","http://dbpedia.org/resource/Vatican_City","Vatican City","http://dbpedia.org/resource/Vatican_City","Vatican Cityyy","http://dbpedia.org/resource/Vatican_City","","","[240]"
"Venezuela","http://dbpedia.org/resource/Venezuela","Caracas","http://dbpedia.org/resource/Caracas","Carracass","http://dbpedia.org/resource/Caracas","Maracaibo","http://dbpedia.org/resource/Maracaibo","[241]"
"Vietnam","http://dbpedia.org/resource/Vietnam","Hanoi","http://dbpedia.org/resource/Hanoi","Ho Chi Miinh City","http://dbpedia.org/resource/Ho_Chi_Minh_City","Hanoi","http://dbpedia.org/resource/Hanoi","[242]"
"Virgin Islands, British (UK)","http://dbpedia.org/resource/British_Virgin_Islands","Road Town","http://dbpedia.org/resource/Road_Town","Road Townnn","http://dbpedia.org/resource/Road_Town","Spanish Town","http://dbpedia.org/resource/Spanish_Town,_British_Virgin_Islands",""
"Virgin Islands, United States (US)","http://dbpedia.org/resource/United_States_Virgin_Islands","Charlotte Amalie","http://dbpedia.org/resource/Charlotte_Amalie,_United_States_Virgin_Islands","Charlotte Amalie","http://dbpedia.org/resource/Charlotte_Amalie,_United_States_Virgin_Islands","Anna's Retreat","http://dbpedia.org/resource/Anna's_Retreat,_United_States_Virgin_Islands",""
"Wallis and Futuna (France)","http://dbpedia.org/resource/Wallis_and_Futuna","Mata-Utu","http://dbpedia.org/resource/Mata-Utu","Mata-Utuuu","http://dbpedia.org/resource/Mata-Utu","Alele","http://dbpedia.org/resource/Alele","[243]"
"Western Sahara","http://dbpedia.org/resource/Western_Sahara","Laayoune","http://dbpedia.org/resource/Laayoune","Laayouneee","http://dbpedia.org/resource/Laayoune","Dakhla","http://dbpedia.org/resource/Dakhla,_Western_Sahara","[244]"
"Yemen","http://dbpedia.org/resource/Yemen","Sana'a","http://dbpedia.org/resource/Sana'a","Sana'aaa","http://dbpedia.org/resource/Sana'a","Aden","http://dbpedia.org/resource/Aden","[245]"
"Zambia","http://dbpedia.org/resource/Zambia","Lusaka","http://dbpedia.org/resource/Lusaka","Lusaka","http://dbpedia.org/resource/Lusaka","Kitwe","http://dbpedia.org/resource/Kitwe","[246]"
"Zimbabwe","http://dbpedia.org/resource/Zimbabwe","Harare","http://dbpedia.org/resource/Harare","Hararre","http://dbpedia.org/resource/Harare","Bulawayo","http://dbpedia.org/resource/Bulawayo","[247]"
