"???O","???O__URI","???[?O","?`?[??","?`?[??__URI","????","?N","??"
"Frank Baker","http://dbpedia.org/resource/Frank_Baker_(outfielder) http://dbpedia.org/resource/Frank_Baker_(outfield) http://dbpedia.org/resource/Frank_Baker_(outfielder)","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","07-03",1911,"."
"Bill Collins","http://dbpedia.org/resource/Bill_Collins_(outfielder) http://dbpedia.org/resource/Bill_Collins_(baseball_outfielder) http://dbpedia.org/resource/Bill_Collins_(outfielder)","?m?k","Braves","http://dbpedia.org/page/Atlanta_Braves","10-06",1910,"."
"Danny Murphy","http://dbpedia.org/resource/Danny_Murphy_(second_baseman) http://dbpedia.org/resource/Danny_Murphy_(baseball_infielder) http://dbpedia.org/resource/Danny_Murphy_(infielder) http://dbpedia.org/resource/Danny_Murphy_(MLB_second_baseman) http://dbpedia.org/resource/Danny_Murphy_(second_baseman)","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","08-25",1910,"."
"Owen Wilson","http://dbpedia.org/resource/Chief_Wilson http://dbpedia.org/resource/Chief_Wilson","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-03",1910,"."
"Otis Clymer","http://dbpedia.org/resource/Otis_Clymer http://dbpedia.org/resource/Otis_Clymer","?`?k","Senators","http://dbpedia.org/resource/History_of_the_Washington_Senators_(1901-60)","10-02",1908,"."
"John Bates","http://dbpedia.org/resource/John_Bates_(baseball) http://dbpedia.org/resource/John_Bates_(baseball)","?m?k","Braves","http://dbpedia.org/page/Atlanta_Braves","04-26",1907,"."
"Sam Mertes","http://dbpedia.org/resource/Sam_Mertes http://dbpedia.org/resource/Sam_Mertes","?m?k","Giants","http://dbpedia.org/page/San_Francisco_Giants","10-04",1904,"."
"Duff Cooley","http://dbpedia.org/resource/Duff_Cooley http://dbpedia.org/resource/Duff_Cooley","?m?k","Braves","http://dbpedia.org/page/Atlanta_Braves","06-20",1904,"."
"Bill Bradley","http://dbpedia.org/resource/Bill_Bradley http://dbpedia.org/resource/Bradley,_Bill http://dbpedia.org/resource/Bill_Bradley http://dbpedia.org/resource/William_Warren_Bradley http://dbpedia.org/resource/William_W._Bradley http://dbpedia.org/resource/William_W_Bradley http://dbpedia.org/resource/William_Walter_Bradley","?`?k","Indians","http://dbpedia.org/page/Cleveland_Indians","09-24",1903,"."
"Pat Dougherty","http://dbpedia.org/resource/Pat_Dougherty http://dbpedia.org/resource/Pat_Dougherty","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-29",1903,"."
"Buck Freeman","http://dbpedia.org/resource/Buck_Freeman http://dbpedia.org/resource/Buck_Freeman","?`?k","Red Sox","http://dbpedia.org/page/Boston_Red_Sox","07-21",1903,"."
"Fred Clarke","http://dbpedia.org/resource/Fred_Clarke http://dbpedia.org/resource/Clarke,_Fred http://dbpedia.org/resource/Fred_Clarke","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","05-07",1903,2
"Nap Lajoie","http://dbpedia.org/resource/Nap_Lajoie http://dbpedia.org/resource/Napoleon_Lajoie http://dbpedia.org/resource/Napol�Ã�©on_Lajoie http://dbpedia.org/resource/N._Lajoie http://dbpedia.org/resource/Napol�Ã�©on_%22Nap%22_Lajoie http://dbpedia.org/resource/Nap_Lajoie http://dbpedia.org/resource/Larry_Lajoie http://dbpedia.org/resource/Nap_LaJoie","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","07-30",1901,"."
"Fred Clarke","http://dbpedia.org/resource/Fred_Clarke http://dbpedia.org/resource/Clarke,_Fred http://dbpedia.org/resource/Fred_Clarke","?m?k","Pirates","http://dbpedia.org/page/Pittsburgh_Pirates","07-23",1901,1
"Harry Davis","http://dbpedia.org/resource/Harry_Davis_(1900s_first_baseman) http://dbpedia.org/resource/Harry_Davis_(1900s_first_baseman)","?`?k","Athletics","http://dbpedia.org/page/Oakland_Athletics","07-10",1901,"."
"Bill Joyce","http://dbpedia.org/resource/Bill_Joyce_(baseball) http://dbpedia.org/resource/Bill_Joyce_(baseball_player) http://dbpedia.org/resource/Bill_Joyce_(baseball) http://dbpedia.org/resource/William_Joyce_(baseball)","?m?k","Washington","http://dbpedia.org/page/Washington_Senators_(1891–99)","05-30",1896,"."
"Herman Long","http://dbpedia.org/resource/Herman_Long_(baseball) http://dbpedia.org/resource/Herman_Long_(baseball)","?m?k","Boston","https://en.wikipedia.org/wiki/History_of_the_Boston_Braves","05-09",1896,"."
"Ed Cartwright","http://dbpedia.org/resource/Ed_Cartwright http://dbpedia.org/resource/Ed_Cartwright","?m?k","Washington","http://dbpedia.org/page/Washington_Senators_(1891–99)","09-30",1895,"."
"Tom Dowd","http://dbpedia.org/resource/Tommy_Dowd_(baseball) http://dbpedia.org/resource/Tommy_Dowd_(baseball) http://dbpedia.org/resource/Tommy_Dowd_(Baseball)","?m?k","St. Louis","https://en.wikipedia.org/wiki/History_of_the_St._Louis_Browns","08-16",1895,"."
"Tom Parrett","http://dbpedia.org/resource/Tom_Parrott http://dbpedia.org/resource/Tom_Parrott","?m?k","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati_Reds","09-28",1894,"."
"Sam Thompson","http://dbpedia.org/resource/Sam_Thompson http://dbpedia.org/resource/Sam_Thompson","?m?k","Philadelphia","http://dbpedia.org/page/Philadelphia_Phillies","08-17",1894,"."
"Bill Hassamaer","http://dbpedia.org/resource/Bill_Hassamaer http://dbpedia.org/resource/Bill_Hassamaer","?m?k","Washington","http://dbpedia.org/page/Washington_Senators_(1891–99)","06-13",1894,"."
"Lave Cross","http://dbpedia.org/resource/Lave_Cross http://dbpedia.org/resource/Lafayette_Napoleon_Cross http://dbpedia.org/resource/Lave_Cross","?m?k","Philadelphia","http://dbpedia.org/page/Philadelphia_Phillies","04-24",1894,"."
"Jimmy Ryan","http://dbpedia.org/resource/Jimmy_Ryan_(baseball) http://dbpedia.org/resource/Jimmy_Ryan_(baseball) http://dbpedia.org/resource/Jimmy_Ryan_(baseball_player)","?m?k","Chicago","http://dbpedia.org/page/History_of_the_Chicago_Cubs","07-01",1891,2
"John Reilly","http://dbpedia.org/resource/John_Reilly_(baseball) http://dbpedia.org/resource/Long_John_Reilly http://dbpedia.org/resource/John_Reilly_(baseball)","?m?k","Cincinnati","https://en.wikipedia.org/wiki/Cincinnati_Reds","08-06",1890,"."
"Tom Burns","http://dbpedia.org/resource/Tom_Burns_(baseball) http://dbpedia.org/resource/Tom_Burns_(baseball) http://dbpedia.org/resource/Tom_Burns_(baseball_player)","?m?k","Brooklyn","https://en.wikipedia.org/wiki/History_of_the_Brooklyn_Dodgers","08-01",1890,"."
"Larry Twitchell","http://dbpedia.org/resource/Larry_Twitchell http://dbpedia.org/resource/Larry_Twitchell","?m?k","Cleveland","http://dbpedia.org/page/Cleveland_Spiders","08-15",1889,"."
"John Glasscock","http://dbpedia.org/resource/Jack_Glasscock http://dbpedia.org/resource/John_Wesley_Glasscock http://dbpedia.org/resource/Jack_Glasscock","?m?k","Indianapolis","http://dbpedia.org/page/St._Louis_Maroons/Indianapolis_Hoosiers","08-08",1889,"."
"Mike Tiernan","http://dbpedia.org/resource/Mike_Tiernan http://dbpedia.org/resource/Mike_Tiernan","?m?k","New York","https://en.wikipedia.org/wiki/History_of_the_New_York_Giants_(baseball)","08-25",1888,"."
"Jimmy Ryan","http://dbpedia.org/resource/Jimmy_Ryan_(baseball) http://dbpedia.org/resource/Jimmy_Ryan_(baseball_player) http://dbpedia.org/resource/Jimmy_Ryan_(baseball)","?m?k","Chicago","http://dbpedia.org/page/History_of_the_Chicago_Cubs","07-28",1888,1
"Fred Carroll","http://dbpedia.org/resource/Fred_Carroll http://dbpedia.org/resource/Fred_Carroll","?m?k","Pittsburgh","http://dbpedia.org/page/Pittsburgh_Pirates","05-02",1887,"."
"John Rowe","http://dbpedia.org/resource/Jack_Rowe http://dbpedia.org/resource/Jack_Rowe","?m?k","Detroit","https://en.wikipedia.org/wiki/Detroit_Wolverines","08-21",1886,"."
"Fred Dunlap","http://dbpedia.org/resource/Fred_Dunlap http://dbpedia.org/resource/Fred_Dunlap http://dbpedia.org/resource/Frederick_C._Dunlap","?m?k","St. Louis","https://en.wikipedia.org/wiki/History_of_the_St._Louis_Browns","05-24",1886,"."
"Bill McQuery","http://dbpedia.org/resource/Mox_McQuery http://dbpedia.org/resource/Mox_McQuery","?m?k","Detroit","https://en.wikipedia.org/wiki/Detroit_Wolverines","09-28",1885,"."
"George Wood","http://dbpedia.org/resource/George_Wood_(baseball) http://dbpedia.org/resource/George_Wood_(baseball_player) http://dbpedia.org/resource/George_Wood_(baseball)","?m?k","Detroit","https://en.wikipedia.org/wiki/Detroit_Wolverines","06-13",1885,"."
"Jim O'Rourke","http://dbpedia.org/resource/Jim_O'Rourke_(baseball) http://dbpedia.org/resource/Jim_O'Rourke_(umpire) http://dbpedia.org/resource/Orator_Jim http://dbpedia.org/resource/James_Henry_O'Rourke http://dbpedia.org/resource/Jim_O'Rourke_(baseball) http://dbpedia.org/resource/James_H._O'Rourke http://dbpedia.org/resource/Jim_O'Rourke_(baseball_player)","?m?k","Buffalo","https://en.wikipedia.org/wiki/Buffalo_Bisons_(NL)","06-16",1884,"."
"Charles Foley","http://dbpedia.org/resource/Curry_Foley http://dbpedia.org/resource/Curry_Foley","?m?k","Buffalo","https://en.wikipedia.org/wiki/Buffalo_Bisons_(NL)","05-25",1882,"."
